year,district,pop_total,age_0_19,age_20_39,age_40_64,age_65_79,age_80plus,pct_0_19,pct_20_39,pct_40_64,pct_65_79,pct_80plus
1982,604-Ouchy,1544,228,476,509,247,84,0.1477,0.3083,0.3297,0.16,0.0544
1982,7-Montchoisi,3887,650,1097,1223,708,209,0.1672,0.2822,0.3146,0.1821,0.0538
1982,701-Montchoisi,3671,614,1055,1145,664,193,0.1673,0.2874,0.3119,0.1809,0.0526
1982,702-Elysée,216,36,42,78,44,16,0.1667,0.1944,0.3611,0.2037,0.0741
1982,8-Florimont/Chissiez,5665,1043,1837,1702,826,257,0.1841,0.3243,0.3004,0.1458,0.0454
1982,801-Florimont,2000,330,507,659,369,135,0.165,0.2535,0.3295,0.1845,0.0675
1982,802-Av. Rambert,1104,236,281,361,177,49,0.2138,0.2545,0.327,0.1603,0.0444
1982,803-Chissiez,2561,477,1049,682,280,73,0.1863,0.4096,0.2663,0.1093,0.0285
1982,9-Mousquines/Bellevue,2443,540,697,761,351,94,0.221,0.2853,0.3115,0.1437,0.0385
1982,901-Mon-Repos,176,27,37,60,40,12,0.1534,0.2102,0.3409,0.2273,0.0682
1982,902-Av. Secrétan,1652,406,418,520,247,61,0.2458,0.253,0.3148,0.1495,0.0369
1982,903-Ch. de la Vuachère,615,107,242,181,64,21,0.174,0.3935,0.2943,0.1041,0.0341
1982,Ville de Lausanne,128165,25424,42076,38235,17248,5182,0.1984,0.3283,0.2983,0.1346,0.0404
1983,1-Centre,12128,1845,4231,3665,1792,595,0.1521,0.3489,0.3022,0.1478,0.0491
1983,101-Rue Centrale,2079,247,786,632,317,97,0.1188,0.3781,0.304,0.1525,0.0467
1983,102-Chauderon,2237,381,924,604,249,79,0.1703,0.4131,0.27,0.1113,0.0353
1983,103-Flon,7,3,1,1,2,0,0.4286,0.1429,0.1429,0.2857,0.0
1983,104-Montbenon,175,20,43,58,45,9,0.1143,0.2457,0.3314,0.2571,0.0514
1983,105-Gare/Petit-Chêne,1564,273,461,476,253,101,0.1746,0.2948,0.3043,0.1618,0.0646
1983,106-Georgette,1159,235,314,349,194,67,0.2028,0.2709,0.3011,0.1674,0.0578
1983,107-Avant-Poste,1618,232,386,518,353,129,0.1434,0.2386,0.3201,0.2182,0.0797
1983,108-Marterey,1877,279,702,634,203,59,0.1486,0.374,0.3378,0.1082,0.0314
1983,109-Cité,562,72,282,140,52,16,0.1281,0.5018,0.2491,0.0925,0.0285
1983,110-Riponne/Tunnel,850,103,332,253,124,38,0.1212,0.3906,0.2976,0.1459,0.0447
1983,13-Sauvabelin,583,174,236,112,34,27,0.2985,0.4048,0.1921,0.0583,0.0463
1983,1301-Sauvabelin,69,14,19,27,9,0,0.2029,0.2754,0.3913,0.1304,0.0
1983,1302-Pré-Fleuri,514,160,217,85,25,27,0.3113,0.4222,0.1654,0.0486,0.0525
1983,2-Maupas/Valency,13733,2258,4476,4293,2060,646,0.1644,0.3259,0.3126,0.15,0.047
1983,201-Maupas,3011,497,1020,980,391,123,0.1651,0.3388,0.3255,0.1299,0.0409
