year,district,dw_total,dw_lt40,dw_40_59,dw_60_79,dw_80_99,dw_100_119,dw_120_159,dw_160plus,pct_small_surface,pct_large_surface
2019,10 - Vallon/Béthusy,3838,616,1089,1083,598,237,162,53,0.4442,0.056
2019,11 - Chailly/Rovéréaz,4860,629,940,1255,789,412,417,418,0.3228,0.1718
2019,12 - Sallaz/Vennes/Séchaud,7330,1137,1320,1715,1652,920,441,145,0.3352,0.0799
2019,13 - Sauvabelin,417,68,56,182,89,15,6,1,0.2974,0.0168
2019,14 - Borde/Bellevaux,5158,680,1505,1758,722,331,125,37,0.4236,0.0314
2019,15 - Vinet/Pontaise,4539,1015,1227,1259,557,276,150,55,0.4939,0.0452
2019,16 - Bossons/Blécherette,3469,235,844,1465,570,255,89,11,0.311,0.0288
2019,17 - Beaulieu/Grey/Boisy,3259,124,567,827,836,658,212,35,0.212,0.0758
2019,2 - Maupas/Valency,8192,1210,2731,2600,1011,361,218,61,0.4811,0.0341
2019,3 - Sébeillon/Malley,5905,810,1456,1960,953,521,152,53,0.3837,0.0347
2019,4 - Montoie/Bourdonette,3860,592,1045,1313,642,171,73,24,0.4241,0.0251
2019,5 - Montriond/Cour,4713,578,1037,1489,830,384,246,149,0.3427,0.0838
2019,6 - Sous-Gare/Ouchy,6488,936,1517,1705,1086,632,389,223,0.3781,0.0943
2019,7 - Montchoisi,2299,251,630,791,313,123,126,65,0.3832,0.0831
2019,8 - Florimont/Chissiez,3297,414,763,774,485,258,364,239,0.357,0.1829
2019,9 - Mousquines/Bellevue,1403,108,242,325,177,139,219,193,0.2495,0.2937
2019,90 - Zones foraines,1635,99,233,217,215,209,379,283,0.2031,0.4049
2020,1 - Centre,8453,1904,1741,2032,1339,633,577,227,0.4312,0.0951
2020,10 - Vallon/Béthusy,3844,616,1091,1084,602,236,162,53,0.4441,0.0559
2020,11 - Chailly/Rovéréaz,4922,631,960,1270,798,426,420,417,0.3232,0.1701
2020,12 - Sallaz/Vennes/Séchaud,7342,1115,1332,1717,1653,938,444,143,0.3333,0.08
2020,13 - Sauvabelin,417,68,56,182,89,15,6,1,0.2974,0.0168
2020,14 - Borde/Bellevaux,5167,679,1443,1813,744,328,123,37,0.4107,0.031
2020,15 - Vinet/Pontaise,4548,1021,1227,1259,558,276,152,55,0.4943,0.0455
2020,16 - Bossons/Blécherette,3477,239,844,1468,571,256,89,10,0.3115,0.0285
2020,17 - Beaulieu/Grey/Boisy,3265,124,569,828,838,662,209,35,0.2123,0.0747
2020,2 - Maupas/Valency,8210,1217,2734,2590,1038,352,216,63,0.4812,0.034
2020,3 - Sébeillon/Malley,5989,812,1484,1980,981,528,152,52,0.3834,0.0341
2020,4 - Montoie/Bourdonette,3877,594,1058,1318,641,169,73,24,0.4261,0.025
2020,5 - Montriond/Cour,4756,580,1034,1506,851,385,252,148,0.3394,0.0841
2020,6 - Sous-Gare/Ouchy,6513,938,1531,1704,1101,623,392,224,0.3791,0.0946
2020,7 - Montchoisi,2295,247,630,789,316,124,125,64,0.3821,0.0824
2020,8 - Florimont/Chissiez,3295,413,765,773,485,257,362,240,0.3575,0.1827
2020,9 - Mousquines/Bellevue,1405,110,244,323,179,137,220,192,0.252,0.2932
2020,90 - Zones foraines,1749,106,250,234,268,226,380,285,0.2035,0.3802
2021,1 - Centre,8686,2044,1773,2069,1355,639,581,225,0.4394,0.0928
2021,10 - Vallon/Béthusy,3846,615,1094,1084,603,236,162,52,0.4444,0.0556
2021,11 - Chailly/Rovéréaz,4959,638,965,1278,800,432,429,417,0.3233,0.1706
2021,12 - Sallaz/Vennes/Séchaud,7424,1100,1380,1744,1673,937,445,145,0.3341,0.0795
2021,13 - Sauvabelin,417,68,56,182,89,15,6,1,0.2974,0.0168
2021,14 - Borde/Bellevaux,5142,696,1436,1788,736,328,121,37,0.4146,0.0307
2021,15 - Vinet/Pontaise,4557,1021,1230,1262,560,276,153,55,0.494,0.0456
2021,16 - Bossons/Blécherette,3479,239,844,1467,570,258,90,11,0.3113,0.029
2021,17 - Beaulieu/Grey/Boisy,3264,127,569,827,837,660,208,36,0.2132,0.0748
2021,2 - Maupas/Valency,8241,1238,2739,2598,1037,352,213,64,0.4826,0.0336
