year,district,establishments,jobs_total,jobs_men,jobs_women,fte_total,fte_men,fte_women,pct_jobs_women,pct_fte_women,gender_fte_gap
2016,4 - Montoie/Bourdonnette,309,3481.0,1777,1704.0,2804.3988633,1574.7163586999995,1229.6825046000004,0.4895,0.4385,0.051
2016,5 - Montriond/Cour,538,6785.0,3701,3084.0,5804.070839799995,3359.1001173999994,2444.970722399996,0.4545,0.4213,0.0332
2016,6 - Sous-Gare/Ouchy,1067,8429.0,4404,4025.0,6706.909639399984,3772.453543900001,2934.4560954999833,0.4775,0.4375,0.04
2016,7 - Montchoisi,184,1118.0,454,664.0,846.8360764999995,389.61196690000025,457.2241095999993,0.5939,0.5399,0.054
2016,8 - Florimont/Chissiez,322,1329.0,611,718.0,1027.8040975000001,513.5279543000004,514.2761431999998,0.5403,0.5004,0.0399
2016,9 - Mousquines/Bellevue,178,1040.0,472,568.0,800.9412125000006,403.6571879000003,397.2840246000003,0.5462,0.496,0.0502
2016,90 - Zones foraines,283,3640.0,1999,1641.0,2885.1684907999997,1739.2041357999988,1145.964355000001,0.4508,0.3972,0.0536
2016,Ville de Lausanne,12449,119447.0,57999,61448.0,93705.67117110026,49899.70832519998,43805.96284590028,0.5144,0.4675,0.0469
2017,1 - Centre,5059,48376.0,23183,25193.0,36267.12988070015,19286.046200999994,16981.083679700158,0.5208,0.4682,0.0526
2017,10 - Vallon/Béthusy,408,12057.0,4046,8011.0,10037.056655599996,3664.544807199996,6372.5118483999995,0.6644,0.6349,0.0295
2017,11 - Chailly/Rovéréaz,437,2545.0,1026,1519.0,1845.483265000001,827.5536130000003,1017.9296520000007,0.5969,0.5516,0.0453
2017,12 - Sallaz/Vennes/Séchaud,567,8188.0,4389,3799.0,6612.327626700005,3905.9039166000007,2706.423710100004,0.464,0.4093,0.0547
2017,13 - Sauvabelin,37,508.0,234,274.0,399.1543435000001,200.91969590000002,198.23464760000007,0.5394,0.4966,0.0428
2017,14 - Borde/Bellevaux,414,2414.0,1300,1114.0,1848.4684518999986,1109.6308830000005,738.8375688999981,0.4615,0.3997,0.0618
2017,15 - Vinet/Pontaise,545,2721.0,1055,1666.0,2022.0674892999998,858.5108093000001,1163.5566799999997,0.6123,0.5754,0.0369
2017,16 - Bossons/Blécherette,333,3503.0,1831,1672.0,2903.478824599998,1648.2170413999995,1255.2617831999985,0.4773,0.4323,0.045
2017,17 - Beaulieu/Grey/Boisy,247,1892.0,844,1048.0,1485.3733482000002,730.9108398999997,754.4625083000005,0.5539,0.5079,0.046
2017,2 - Maupas/Valency,768,3258.0,1421,1837.0,2437.366184100003,1202.7867526999996,1234.5794314000034,0.5638,0.5065,0.0573
2017,3 - Sébeillon/Malley,950,10449.0,6364,4085.0,8526.160201799998,5624.070575900006,2902.089625899992,0.3909,0.3404,0.0505
2017,4 - Montoie/Bourdonnette,326,3429.0,1675,1754.0,2751.5919391999996,1478.8855181999993,1272.7064210000003,0.5115,0.4625,0.049
2017,5 - Montriond/Cour,541,6704.0,3576,3128.0,5750.270450999993,3262.334166100002,2487.936284899991,0.4666,0.4327,0.0339
2017,6 - Sous-Gare/Ouchy,1128,8330.0,4246,4084.0,6504.718613099986,3593.351276599994,2911.3673364999922,0.4903,0.4476,0.0427
2017,7 - Montchoisi,190,1144.0,461,683.0,854.7031481999999,382.48051220000013,472.22263599999974,0.597,0.5525,0.0445
2017,8 - Florimont/Chissiez,329,1354.0,624,730.0,1056.2505373999998,534.1203935,522.1301438999998,0.5391,0.4943,0.0448
2017,9 - Mousquines/Bellevue,181,1063.0,474,589.0,809.0673009000001,404.71427790000007,404.353023,0.5541,0.4998,0.0543
2017,90 - Zones foraines,288,3654.0,1986,1668.0,2874.7400959000006,1720.6203794000003,1154.1197165000003,0.4565,0.4015,0.055
2017,Ville de Lausanne,12748,121589.0,58735,62854.0,94985.40835710012,50435.601659799984,44549.806697300126,0.5169,0.469,0.0479
2018,1 - Centre,5062,48435.0,23268,25167.0,36779.40351920012,19501.1857942999,17278.217724900216,0.5196,0.4698,0.0498
2018,10 - Vallon/Béthusy,422,12029.0,4045,7984.0,10032.041959999997,3665.0150173999996,6367.026942599998,0.6637,0.6347,0.029
2018,11 - Chailly/Rovéréaz,436,2582.0,1061,1521.0,1882.3372232999966,846.2412958000003,1036.0959274999964,0.5891,0.5504,0.0387
2018,12 - Sallaz/Vennes/Séchaud,576,8065.0,4315,3750.0,6557.839548600005,3837.5222005000005,2720.317348100005,0.465,0.4148,0.0502
2018,13 - Sauvabelin,35,474.0,217,257.0,398.8049994,202.18221350000002,196.62278589999997,0.5422,0.493,0.0492
2018,14 - Borde/Bellevaux,432,2197.0,1184,1013.0,1735.172498099997,1042.3847708000003,692.7877272999967,0.4611,0.3993,0.0618
2018,15 - Vinet/Pontaise,545,2891.0,1072,1819.0,2135.6108897999943,880.5349602000008,1255.0759295999935,0.6292,0.5877,0.0415
2018,16 - Bossons/Blécherette,339,3543.0,1866,1677.0,2893.5257695999976,1632.4562296999989,1261.0695398999987,0.4733,0.4358,0.0375
2018,17 - Beaulieu/Grey/Boisy,245,1884.0,854,1030.0,1482.6304286,738.2465853,744.3838433,0.5467,0.5021,0.0446
2018,2 - Maupas/Valency,787,3570.0,1477,2093.0,2688.4271348,1254.1876957999987,1434.2394390000015,0.5863,0.5335,0.0528
2018,3 - Sébeillon/Malley,988,10628.0,6422,4206.0,8734.180790700004,5715.636449899997,3018.5443408000065,0.3957,0.3456,0.0501
2018,4 - Montoie/Bourdonnette,333,3437.0,1661,1776.0,2799.7714892999998,1486.0232602999995,1313.7482290000003,0.5167,0.4692,0.0475
2018,5 - Montriond/Cour,539,7222.0,3870,3352.0,6262.107992300002,3534.300227700006,2727.8077645999956,0.4641,0.4356,0.0285
2018,6 - Sous-Gare/Ouchy,1121,8778.0,4455,4323.0,7027.606793500013,3855.781170800012,3171.8256227000006,0.4925,0.4513,0.0412
2018,7 - Montchoisi,198,1166.0,483,683.0,900.0577045999993,414.75057110000034,485.30713349999894,0.5858,0.5392,0.0466
2018,8 - Florimont/Chissiez,356,1548.0,720,828.0,1207.4634243999994,602.2803088000003,605.1831155999992,0.5349,0.5012,0.0337
2018,9 - Mousquines/Bellevue,187,1460.0,681,779.0,1181.2388735999998,593.0792538000001,588.1596197999997,0.5336,0.4979,0.0357
2018,90 - Zones foraines,280,3622.0,1950,1672.0,2856.5268128000002,1702.1953090999982,1154.331503700002,0.4616,0.4041,0.0575
2018,Ville de Lausanne,12881,123531.0,59601,63930.0,97554.74785260014,51504.00331479992,46050.74453780021,0.5175,0.4721,0.0454
2019,1 - Centre,5159,49231.0,23636,25595.0,37415.24345199973,19934.799117399947,17480.444334599786,0.5199,0.4672,0.0527
2019,10 - Vallon/Béthusy,441,12395.0,4203,8192.0,10337.1079912,3801.1913885999993,6535.916602600001,0.6609,0.6323,0.0286
2019,11 - Chailly/Rovéréaz,431,2565.0,1030,1535.0,1883.4232185999983,829.9403549999998,1053.4828635999984,0.5984,0.5593,0.0391
2019,12 - Sallaz/Vennes/Séchaud,599,8258.0,4493,3765.0,6720.6925865,3987.7196937000017,2732.9728927999986,0.4559,0.4067,0.0492
2019,13 - Sauvabelin,38,461.0,201,260.0,388.1431392999999,184.78191040000002,203.3612288999999,0.564,0.5239,0.0401
2019,14 - Borde/Bellevaux,429,2164.0,1144,1020.0,1718.161154,1006.7812541999994,711.3798998000005,0.4713,0.414,0.0573
2019,15 - Vinet/Pontaise,588,2939.0,1103,1836.0,2172.656459999999,895.213848599999,1277.4426113999998,0.6247,0.588,0.0367
2019,16 - Bossons/Blécherette,386,3686.0,1888,1798.0,2993.6692083999997,1655.0466540999994,1338.6225543000003,0.4878,0.4472,0.0406
2019,17 - Beaulieu/Grey/Boisy,249,1854.0,850,1004.0,1478.5343109999988,744.5223250999998,734.011985899999,0.5415,0.4964,0.0451
2019,2 - Maupas/Valency,801,3652.0,1590,2062.0,2755.1389327999973,1326.8695624,1428.2693703999973,0.5646,0.5184,0.0462
2019,3 - Sébeillon/Malley,1037,10780.0,6449,4331.0,8715.876029599996,5625.9119906,3089.964038999997,0.4018,0.3545,0.0473
2019,4 - Montoie/Bourdonnette,345,3577.0,1729,1848.0,2900.370997999997,1523.6525465999996,1376.7184513999975,0.5166,0.4747,0.0419
2019,5 - Montriond/Cour,537,6986.0,3704,3282.0,6017.4189568,3376.0718050000046,2641.3471517999956,0.4698,0.439,0.0308
2019,6 - Sous-Gare/Ouchy,1173,8792.0,4471,4321.0,7015.6512813000045,3851.946780100001,3163.7045012000035,0.4915,0.4509,0.0406
2019,7 - Montchoisi,209,1231.0,514,717.0,957.0446367999999,434.4924871000001,522.5521496999997,0.5825,0.546,0.0365
2019,8 - Florimont/Chissiez,359,1534.0,714,820.0,1212.0226885999994,609.0014508000003,603.0212377999991,0.5346,0.4975,0.0371
2019,9 - Mousquines/Bellevue,186,1550.0,706,844.0,1253.2588836,615.7302768999999,637.5286067000001,0.5445,0.5087,0.0358
2019,90 - Zones foraines,247,3632.0,1993,1639.0,2887.6848330999987,1772.6673964999998,1115.017436599999,0.4513,0.3861,0.0652
